PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31831740","MIMIC-CXR, a de-identified publicly available database of chest radiographs with free-text reports","Johnson AEW, Pollard TJ, Berkowitz SJ, Greenbaum NR, Lungren MP, Deng CY, Mark RG, Horng S.","Sci Data. 2019 Dec 12;6(1):317. doi: 10.1038/s41597-019-0322-0.","Johnson AEW","Sci Data","2019","2019/12/14","PMC6908718","","10.1038/s41597-019-0322-0"
"38042919","A medical multimodal large language model for future pandemics","Liu F, Zhu T, Wu X, Yang B, You C, Wang C, Lu L, Liu Z, Zheng Y, Sun X, Yang Y, Clifton L, Clifton DA.","NPJ Digit Med. 2023 Dec 2;6(1):226. doi: 10.1038/s41746-023-00952-2.","Liu F","NPJ Digit Med","2023","2023/12/02","PMC10693607","","10.1038/s41746-023-00952-2"
"38036602","AUCReshaping: improved sensitivity at high-specificity","Bhat S, Mansoor A, Georgescu B, Panambur AB, Ghesu FC, Islam S, Packhäuser K, Rodríguez-Salas D, Grbic S, Maier A.","Sci Rep. 2023 Nov 30;13(1):21097. doi: 10.1038/s41598-023-48482-x.","Bhat S","Sci Rep","2023","2023/11/30","PMC10689839","","10.1038/s41598-023-48482-x"
"37986726","Towards long-tailed, multi-label disease classification from chest X-ray: Overview of the CXR-LT challenge","Holste G, Zhou Y, Wang S, Jaiswal A, Lin M, Zhuge S, Yang Y, Kim D, Nguyen-Mau TH, Tran MT, Jeong J, Park W, Ryu J, Hong F, Verma A, Yamagishi Y, Kim C, Seo H, Kang M, Celi LA, Lu Z, Summers RM, Shih G, Wang Z, Peng Y.","ArXiv. 2023 Oct 24:arXiv:2310.16112v1. Preprint.","Holste G","ArXiv","2023","2023/11/21","PMC10659524","",""
"37986725","Semantically Redundant Training Data Removal and Deep Model Classification Performance: A Study with Chest X-rays","Rajaraman S, Zamzmi G, Yang F, Liang Z, Xue Z, Antani S.","ArXiv. 2023 Sep 18:arXiv:2309.09773v1. Preprint.","Rajaraman S","ArXiv","2023","2023/11/21","PMC10659445","",""
"37961377","Clinical Text Summarization: Adapting Large Language Models Can Outperform Human Experts","Van Veen D, Van Uden C, Blankemeier L, Delbrouck JB, Aali A, Bluethgen C, Pareek A, Polacin M, Reis EP, Seehofnerová A, Rohatgi N, Hosamani P, Collins W, Ahuja N, Langlotz CP, Hom J, Gatidis S, Pauly J, Chaudhari AS.","Res Sq. 2023 Oct 30:rs.3.rs-3483777. doi: 10.21203/rs.3.rs-3483777/v1. Preprint.","Van Veen D","Res Sq","2023","2023/11/14","PMC10635391","","10.21203/rs.3.rs-3483777/v1"
"37934094","Coarse Race and Ethnicity Labels Mask Granular Underdiagnosis Disparities in Deep Learning Models for Chest Radiograph Diagnosis","Bachina P, Garin SP, Kulkarni P, Kanhere A, Sulam J, Parekh VS, Yi PH.","Radiology. 2023 Nov;309(2):e231693. doi: 10.1148/radiol.231693.","Bachina P","Radiology","2023","2023/11/07","PMC10698499","","10.1148/radiol.231693"
"37904738","Automatic Personalized Impression Generation for PET Reports Using Large Language Models","Tie X, Shin M, Pirasteh A, Ibrahim N, Huemann Z, Castellino SM, Kelly KM, Garrett J, Hu J, Cho SY, Bradshaw TJ.","ArXiv. 2023 Oct 17:arXiv:2309.10066v2. Preprint.","Tie X","ArXiv","2023","2023/10/31","PMC10614982","",""
"37904734","Opportunities and Challenges for ChatGPT and Large Language Models in Biomedicine and Health","Tian S, Jin Q, Yeganova L, Lai PT, Zhu Q, Chen X, Yang Y, Chen Q, Kim W, Comeau DC, Islamaj R, Kapoor A, Gao X, Lu Z.","ArXiv. 2023 Oct 17:arXiv:2306.10070v2. Preprint.","Tian S","ArXiv","2023","2023/10/31","PMC10614979","",""
"37854097","Joint classification and segmentation for an interpretable diagnosis of acute respiratory distress syndrome from chest x-rays","Yahyatabar M, Jouvet P, Cheriet F.","J Med Imaging (Bellingham). 2023 Sep;10(5):054504. doi: 10.1117/1.JMI.10.5.054504. Epub 2023 Oct 17.","Yahyatabar M","J Med Imaging (Bellingham)","2023","2023/10/19","PMC10581023","","10.1117/1.JMI.10.5.054504"
"37836952","Towards Building a Trustworthy Deep Learning Framework for Medical Image Analysis","Ma K, He S, Sinha G, Ebadi A, Florea A, Tremblay S, Wong A, Xi P.","Sensors (Basel). 2023 Sep 27;23(19):8122. doi: 10.3390/s23198122.","Ma K","Sensors (Basel)","2023","2023/10/14","PMC10574977","","10.3390/s23198122"
"37829549","How Does Pruning Impact Long-Tailed Multi-label Medical Image Classifiers?","Holste G, Jiang Z, Jaiswal A, Hanna M, Minkowitz S, Legasto AC, Escalon JG, Steinberger S, Bittman M, Shen TC, Ding Y, Summers RM, Shih G, Peng Y, Wang Z.","Med Image Comput Comput Assist Interv. 2023 Oct;14224:663-673. doi: 10.1007/978-3-031-43904-9_64. Epub 2023 Oct 1.","Holste G","Med Image Comput Comput Assist Interv","2023","2023/10/13","PMC10568970","NIHMS1936096","10.1007/978-3-031-43904-9_64"
"37815443","Feasibility and Prospect of Privacy-preserving Large Language Models in Radiology","Cai W.","Radiology. 2023 Oct;309(1):e232335. doi: 10.1148/radiol.232335.","Cai W","Radiology","2023","2023/10/10","PMC10623203","","10.1148/radiol.232335"
"37815442","Feasibility of Using the Privacy-preserving Large Language Model Vicuna for Labeling Radiology Reports","Mukherjee P, Hou B, Lanfredi RB, Summers RM.","Radiology. 2023 Oct;309(1):e231147. doi: 10.1148/radiol.231147.","Mukherjee P","Radiology","2023","2023/10/10","PMC10623189","","10.1148/radiol.231147"
"37803009","Improving model fairness in image-based computer-aided diagnosis","Lin M, Li T, Yang Y, Holste G, Ding Y, Van Tassel SH, Kovacs K, Shih G, Wang Z, Lu Z, Wang F, Peng Y.","Nat Commun. 2023 Oct 6;14(1):6261. doi: 10.1038/s41467-023-41974-4.","Lin M","Nat Commun","2023","2023/10/06","PMC10558498","","10.1038/s41467-023-41974-4"
"37795140","The Subgroup Imperative: Chest Radiograph Classifier Generalization Gaps in Patient, Setting, and Pathology Subgroups","Ahluwalia M, Abdalla M, Sanayei J, Seyyed-Kalantari L, Hussain M, Ali A, Fine B.","Radiol Artif Intell. 2023 Jul 12;5(5):e220270. doi: 10.1148/ryai.220270. eCollection 2023 Sep.","Ahluwalia M","Radiol Artif Intell","2023","2023/10/05","PMC10546359","","10.1148/ryai.220270"
"37786449","A review of deep learning in medical imaging: Imaging traits, technology trends, case studies with progress highlights, and future promises","Zhou SK, Greenspan H, Davatzikos C, Duncan JS, van Ginneken B, Madabhushi A, Prince JL, Rueckert D, Summers RM.","Proc IEEE Inst Electr Electron Eng. 2021 May;109(5):820-838. doi: 10.1109/JPROC.2021.3054390. Epub 2021 Feb 26.","Zhou SK","Proc IEEE Inst Electr Electron Eng","2021","2023/10/03","PMC10544772","NIHMS1699223","10.1109/JPROC.2021.3054390"
"37763797","Advancements in Standardizing Radiological Reports: A Comprehensive Review","Pesapane F, Tantrige P, De Marco P, Carriero S, Zugni F, Nicosia L, Bozzini AC, Rotili A, Latronico A, Abbate F, Origgi D, Santicchia S, Petralia G, Carrafiello G, Cassano E.","Medicina (Kaunas). 2023 Sep 17;59(9):1679. doi: 10.3390/medicina59091679.","Pesapane F","Medicina (Kaunas)","2023","2023/09/28","PMC10535385","","10.3390/medicina59091679"
"37741833","MDF-Net for abnormality detection by fusing X-rays with clinical data","Hsieh C, Nobre IB, Sousa SC, Ouyang C, Brereton M, Nascimento JC, Jorge J, Moreira C.","Sci Rep. 2023 Sep 23;13(1):15873. doi: 10.1038/s41598-023-41463-0.","Hsieh C","Sci Rep","2023","2023/09/23","PMC10517966","","10.1038/s41598-023-41463-0"
