PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21283005","Multiparameter Intelligent Monitoring in Intensive Care II: a public-access intensive care unit database","Saeed M, Villarroel M, Reisner AT, Clifford G, Lehman LW, Moody G, Heldt T, Kyaw TH, Moody B, Mark RG.","Crit Care Med. 2011 May;39(5):952-60. doi: 10.1097/CCM.0b013e31820a92c6.","Saeed M","Crit Care Med","2011","2011/02/02","PMC3124312","NIHMS299370","10.1097/CCM.0b013e31820a92c6"
"37877032","Association between platelet-lymphocyte ratio and 90-day mortality in patients with intracerebral hemorrhage: data from the MIMIC-III database","Yuan M, Xiao Z, Zhou H, Fu A, Pei Z.","Front Neurol. 2023 Oct 9;14:1234252. doi: 10.3389/fneur.2023.1234252. eCollection 2023.","Yuan M","Front Neurol","2023","2023/10/25","PMC10591107","","10.3389/fneur.2023.1234252"
"37868942","Cuffless Hypertension Detection using Swarm Support Vector Machine Utilizing Photoplethysmogram and Electrocardiogram","Nuryani N, Pambudi Utomo T, Wiyono N, Sutomo AD, Ling S.","J Biomed Phys Eng. 2023 Oct 1;13(5):477-488. doi: 10.31661/jbpe.v0i0.2206-1504. eCollection 2023 Oct.","Nuryani N","J Biomed Phys Eng","2023","2023/10/23","PMC10589690","","10.31661/jbpe.v0i0.2206-1504"
"37860605","Medical Informatics Operating Room Vitals and Events Repository (MOVER): a public-access operating room database","Samad M, Angel M, Rinehart J, Kanomata Y, Baldi P, Cannesson M.","JAMIA Open. 2023 Oct 17;6(4):ooad084. doi: 10.1093/jamiaopen/ooad084. eCollection 2023 Dec.","Samad M","JAMIA Open","2023","2023/10/20","PMC10582520","","10.1093/jamiaopen/ooad084"
"37795496","Explainable deep learning in plant phenotyping","Mostafa S, Mondal D, Panjvani K, Kochian L, Stavness I.","Front Artif Intell. 2023 Sep 19;6:1203546. doi: 10.3389/frai.2023.1203546. eCollection 2023.","Mostafa S","Front Artif Intell","2023","2023/10/05","PMC10546035","","10.3389/frai.2023.1203546"
"37650027","A methodology to facilitate critical care research using multiple linked electronic, clinical and administrative health records at population scale","Griffiths R, Herbert L, Akbari A, Bailey R, Hollinghurst J, Pugh R, Szakmany T, Torabi F, Lyons RA.","Int J Popul Data Sci. 2022 Jul 18;7(1):1724. doi: 10.23889/ijpds.v7i1.1724. eCollection 2022.","Griffiths R","Int J Popul Data Sci","2022","2023/08/31","PMC10464871","","10.23889/ijpds.v7i1.1724"
"37483941","Profiling of patients with type 2 diabetes based on medication adherence data","Markovič R, Grubelnik V, Završnik T, Blažun Vošner H, Kokol P, Perc M, Marhl M, Završnik M, Završnik J.","Front Public Health. 2023 Jul 6;11:1209809. doi: 10.3389/fpubh.2023.1209809. eCollection 2023.","Markovič R","Front Public Health","2023","2023/07/24","PMC10358769","","10.3389/fpubh.2023.1209809"
"37395927","Automated myocardial infarction and angina detection using second derivative of photoplethysmography","Neha, Sardana HK, Dahiya N, Dogra N, Kanawade R, Sharma YP, Kumar S.","Phys Eng Sci Med. 2023 Sep;46(3):1259-1269. doi: 10.1007/s13246-023-01293-w. Epub 2023 Jul 3.","Neha","Phys Eng Sci Med","2023","2023/07/03","","","10.1007/s13246-023-01293-w"
"37378045","PPGFeat: a novel MATLAB toolbox for extracting PPG fiducial points","Abdullah S, Hafid A, Folke M, Lindén M, Kristoffersson A.","Front Bioeng Biotechnol. 2023 Jun 9;11:1199604. doi: 10.3389/fbioe.2023.1199604. eCollection 2023.","Abdullah S","Front Bioeng Biotechnol","2023","2023/06/28","PMC10292016","","10.3389/fbioe.2023.1199604"
"37370561","PPG2ECGps: An End-to-End Subject-Specific Deep Neural Network Model for Electrocardiogram Reconstruction from Photoplethysmography Signals without Pulse Arrival Time Adjustments","Tang Q, Chen Z, Ward R, Menon C, Elgendi M.","Bioengineering (Basel). 2023 May 23;10(6):630. doi: 10.3390/bioengineering10060630.","Tang Q","Bioengineering (Basel)","2023","2023/06/28","PMC10295332","","10.3390/bioengineering10060630"
"37291140","Deep-learning-based blood pressure estimation using multi channel photoplethysmogram and finger pressure with attention mechanism","Kyung J, Yang JY, Choi JH, Chang JH, Bae S, Choi J, Kim Y.","Sci Rep. 2023 Jun 8;13(1):9311. doi: 10.1038/s41598-023-36068-6.","Kyung J","Sci Rep","2023","2023/06/08","PMC10250382","","10.1038/s41598-023-36068-6"
