PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27219127","MIMIC-III, a freely accessible critical care database","Johnson AE, Pollard TJ, Shen L, Lehman LW, Feng M, Ghassemi M, Moody B, Szolovits P, Celi LA, Mark RG.","Sci Data. 2016 May 24;3:160035. doi: 10.1038/sdata.2016.35.","Johnson AE","Sci Data","2016","2016/05/25","PMC4878278","","10.1038/sdata.2016.35"
"38046840","The Monitoring with Advanced Sensors, Transmission and E-Resuscitation in Traumatic Brain Injury (MASTER-TBI) collaborative: bringing data science to the ICU bedside","McNamara R, Meka S, Anstey J, Fatovich D, Haseler L, Fitzgerald M, Udy A.","Crit Care Resusc. 2023 Oct 18;24(1):39-42. doi: 10.51893/2022.1.OA5. eCollection 2022 Mar 7.","McNamara R","Crit Care Resusc","2023","2023/12/04","PMC10692591","","10.51893/2022.1.OA5"
"38042919","A medical multimodal large language model for future pandemics","Liu F, Zhu T, Wu X, Yang B, You C, Wang C, Lu L, Liu Z, Zheng Y, Sun X, Yang Y, Clifton L, Clifton DA.","NPJ Digit Med. 2023 Dec 2;6(1):226. doi: 10.1038/s41746-023-00952-2.","Liu F","NPJ Digit Med","2023","2023/12/02","PMC10693607","","10.1038/s41746-023-00952-2"
"38037614","DYNAMIC PREDICTION OF RESIDUAL LIFE WITH LONGITUDINAL COVARIATES USING LONG SHORT-TERM MEMORY NETWORKS","Rhodes G, Davidian M, Lu W.","Ann Appl Stat. 2023 Sep;17(3):2039-2058. doi: 10.1214/22-aoas1706. Epub 2023 Sep 7.","Rhodes G","Ann Appl Stat","2023","2023/12/01","PMC10688566","NIHMS1945187","10.1214/22-aoas1706"
"38035020","Histamine H2 receptor antagonist exhibited comparable all-cause mortality-decreasing effect as β-blockers in critically ill patients with heart failure: a cohort study","Zhang XS, Cai WK, Wang P, Xu R, Yin SJ, Huang YH, Guo Y, Jiang FF, Pan JM, Li YH, He GH.","Front Pharmacol. 2023 Nov 13;14:1273640. doi: 10.3389/fphar.2023.1273640. eCollection 2023.","Zhang XS","Front Pharmacol","2023","2023/11/30","PMC10683642","","10.3389/fphar.2023.1273640"
"38012221","Causal inference using observational intensive care unit data: a scoping review and recommendations for future practice","Smit JM, Krijthe JH, Kant WMR, Labrecque JA, Komorowski M, Gommers DAMPJ, van Bommel J, Reinders MJT, van Genderen ME.","NPJ Digit Med. 2023 Nov 27;6(1):221. doi: 10.1038/s41746-023-00961-1.","Smit JM","NPJ Digit Med","2023","2023/11/27","PMC10682453","","10.1038/s41746-023-00961-1"
"37990734","Improving Fairness in AI Models on Electronic Health Records: The Case for Federated Learning Methods","Poulain R, Tarek MFB, Beheshti R.","FAccT 23 (2023). 2023 Jun;2023:1599-1608. doi: 10.1145/3593013.3594102. Epub 2023 Jun 12.","Poulain R","FAccT 23 (2023)","2023","2023/11/22","PMC10661580","NIHMS1911125","10.1145/3593013.3594102"
"37986722","Enhancing Phenotype Recognition in Clinical Notes Using Large Language Models: PhenoBCBERT and PhenoGPT","Yang J, Liu C, Deng W, Wu D, Weng C, Zhou Y, Wang K.","ArXiv. 2023 Nov 9:arXiv:2308.06294v2. Preprint.","Yang J","ArXiv","2023","2023/11/21","PMC10659449","",""
"37973919","A study of generative large language model for medical research and healthcare","Peng C, Yang X, Chen A, Smith KE, PourNejatian N, Costa AB, Martin C, Flores MG, Zhang Y, Magoc T, Lipori G, Mitchell DA, Ospina NS, Ahmed MM, Hogan WR, Shenkman EA, Guo Y, Bian J, Wu Y.","NPJ Digit Med. 2023 Nov 16;6(1):210. doi: 10.1038/s41746-023-00958-w.","Peng C","NPJ Digit Med","2023","2023/11/17","PMC10654385","","10.1038/s41746-023-00958-w"
"37935953","Quantifying the impact of AI recommendations with explanations on prescription decision making","Nagendran M, Festor P, Komorowski M, Gordon AC, Faisal AA.","NPJ Digit Med. 2023 Nov 7;6(1):206. doi: 10.1038/s41746-023-00955-z.","Nagendran M","NPJ Digit Med","2023","2023/11/07","PMC10630476","","10.1038/s41746-023-00955-z"
