title	url
Multiple imputation with multivariate imputation by chained equation (MICE) package	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4731595/
Topic models for mortality modeling in intensive care units	http://mghassem.scripts.mit.edu/wp/wp-content/uploads/2013/02/ghasseminaumannicml2012.pdf
iNICU–Integrated Neonatal Care Unit: Capturing Neonatal Journey in an Intelligent Data Way	https://link.springer.com/article/10.1007/s10916-017-0774-8
Efficient and sparse feature selection for biomedical text classification via the elastic net: Application to ICU risk stratification from nursing notes	http://www.sciencedirect.com/science/article/pii/S1532046415000210
CCS Coding of Discharge Diagnoses via Deep Neural Networks	http://dl.acm.org/citation.cfm?id=3079498
Embedding Open-domain Common-sense Knowledge from Text	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5480211/
NLM's system description for the fourth i2b2/VA challenge	http://www.mssimpson.com/publications/nlm_i2b2_2010.pdf
Luminescence blinking in Eu 3+ doped yttrium oxysulfide (Y 2 O 2 S: Eu 3+) quantum-dot ensembles: photo-assisted relaxation of surface state (s)	http://www.sciencedirect.com/science/article/pii/S0009261407000280
Overview of the share/clef ehealth evaluation lab 2014	http://link.springer.com/chapter/10.1007/978-3-319-11382-1_17
Biomedical signal compression with time-and subject-adaptive dictionary for wearable devices	http://ieeexplore.ieee.org/abstract/document/7738820/
TOWARDS THE CONTEMPORARY AND CONSISTENT ISOLATION SECURITY DESIGN IN UNIVERSAL INFORMATION BASED SYSTEM	http://www.ijcrcst.com/papers/IJCRCST-JANUARY17-08.pdf
Short-term prediction of low kidney function in ICU patients	http://ieeexplore.ieee.org/abstract/document/8015658/
Data transformation and migration in polystores	http://ieeexplore.ieee.org/abstract/document/7761594/
Distributed Big Data Techniques for Health Sensor Information Processing	http://link.springer.com/chapter/10.1007/978-3-319-48746-5_22
Scoring model to predict outcome in critically ill cirrhotic patients with acute respiratory failure: Comparison with MELD scoring models and CLIF-SOFA score	http://www.tandfonline.com/doi/abs/10.1080/17474124.2017.1338948
A diagnostic algorithm for the detection of inhibitors against coagulation Factor V	https://www.degruyter.com/view/j/cclm.2016.54.issue-7/cclm-2015-1005/cclm-2015-1005.xml
Sepsis mortality prediction with the Quotient Basis Kernel	http://www.sciencedirect.com/science/article/pii/S0933365714000347
Recurrent neural networks for classifying relations in clinical notes	http://www.sciencedirect.com/science/article/pii/S1532046417301624
Increasing the dynamic range of a pulse oximeter using heart rate characteristics	http://ieeexplore.ieee.org/abstract/document/7043162/
Signal quality and data fusion for false alarm reduction in the intensive care unit	http://www.sciencedirect.com/science/article/pii/S0022073612002944
Multiparameter Intelligent Monitoring in Intensive Care II (MIMIC-II): a public-access intensive care unit database	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3124312/
MIMIC II: a massive temporal ICU patient database to support research in intelligent patient monitoring	http://ieeexplore.ieee.org/abstract/document/1166854/
MIMIC-III, a freely accessible critical care database	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4878278/
Open-access MIMIC-II database for intensive care research	http://ieeexplore.ieee.org/abstract/document/6092050/
Computer-assisted de-identification of free text in the MIMIC II database	http://ieeexplore.ieee.org/abstract/document/1442942/
User guide and documentation for the MIMIC II database	https://physionet.org/mimic2/UserGuide/UserGuide.pdf
Accessing the public MIMIC-II intensive care relational database for clinical research	https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/1472-6947-13-9
Estimating cardiac output from arterial blood pressurewaveforms: a critical evaluation using the MIMIC II database	http://ieeexplore.ieee.org/abstract/document/1588095/
Predictive value of ionized calcium in critically ill patients: an analysis of a large clinical database MIMIC II	http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0095204
Prediction of extubation failure for neonates with respiratory distress syndrome using the MIMIC-II clinical database	http://ieeexplore.ieee.org/abstract/document/6347139/
…  value of red blood cell distribution width in acute pancreatitis patients admitted to intensive care units: an analysis of a publicly accessible clinical database MIMIC II	https://www.degruyter.com/view/j/cclm.2016.54.issue-7/cclm-2015-1021/cclm-2015-1021.xml
Knowledge abstraction from MIMIC II using apriori algorithm for clinical decision support system	http://www.indjst.org/index.php/indjst/article/view/69372
Comparison of simultaneous invasive and non-invasive measurements of blood pressure based upon MIMIC II database	http://www.sciencedirect.com/science/article/pii/S1872931214000556
Calcium supplementation improves clinical outcome in intensive care unit patients: a propensity score matched analysis of a large clinical database MIMIC-II	http://link.springer.com/article/10.1186/s40064-015-1387-7
Predicting acute hypotensive episodes: The 10th annual physionet/computers in cardiology challenge	http://ieeexplore.ieee.org/abstract/document/5445351/
Temporal pattern recognition in multiparameter ICU data	https://dspace.mit.edu/handle/1721.1/40507
Heuristics to determine ventilation times of ICU patients from the MIMIC-II database	http://ieeexplore.ieee.org/abstract/document/5626286/
Cardiac Output Estimation from Arterial Blood Pressure Waveforms using the MIMIC II Database	http://lcp.mit.edu/pdf/ChenThesis09.pdf
Synthesis and RNA cleaving activities of polyamine derived novel artificial ribonuclease	http://www.sciencedirect.com/science/article/pii/S0960894X01805473
Outcome of critically ill patients with acute kidney injury using the AKIN criteria	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3213281/
Assessing the Corpus Size vs. Similarity Trade-off for Word Embeddings in Clinical NLP	https://www.aclweb.org/anthology/W/W16/W16-42.pdf#page=66
Word sense disambiguation in the clinical domain: a comparison of knowledge-rich and knowledge-poor unsupervised methods	https://academic.oup.com/jamia/article-abstract/21/5/842/759812
Phenome-Wide Association Study	https://books.google.com/books?hl=en&lr=lang_en&id=yS5OBQAAQBAJ&oi=fnd&pg=PA83&dq=(mimic-ii+OR+mimic-iii)&ots=MuKtZpJd8c&sig=E0TGPqBK9u8gkBdA1GmfREcyR9U
