a web-based data visualization tool for the mimic-ii database	T
reproducing a prospective clinical study as a computational retrospective study in mimic-ii	T
mimic-iii, a freely accessible critical care database	T
clinical data mining by exploring public mimic-ii intensive care database	T
accessing the public mimic-ii intensive care relational database for clinical research	T
open-access mimic-ii database for intensive care research	T
heuristics to determine ventilation times of icu patients from the mimic-ii database	T
prediction of extubation failure for neonates with respiratory distress syndrome using the mimic-ii clinical database	T
calcium supplementation improves clinical outcome in intensive care unit patients: a propensity score matched analysis of a large clinical database mimic-ii	T
predicting hyperlactatemia in the mimic ii database	T
prognostic value of red blood cell distribution width in acute pancreatitis patients admitted to intensive care units: an analysis of a publicly accessible clinical database mimic ii	T
predictive value of ionized calcium in critically ill patients: an analysis of a large clinical database mimic ii	T
study on the intermediate ions formed by glutathione peroxidase mimic 2,2'-ditellurobis(2-deoxy-β-cyclodextrin) by electrospray ionization mass spectrometry	F
evaluation of monitoring cardiac output by long time interval analysis of a radial arterial blood pressure waveform using the mimic ii database	T
hydrogen bonding of the nucleobase mimic 2-pyridone to fluorobenzenes: an ab initio investigation	F
mimic ii: a massive temporal icu patient database to support research in intelligent patient monitoring	T
identifying psychiatric comorbidities for obstructive sleep apnea in the biomedical literature and electronic health record	T
standardizing clinical laboratory data for secondary use	T
aryl thiol substrate 3-carboxy-4-nitrobenzenethiol strongly stimulating thiol peroxidase activity of glutathione peroxidase mimic 2, 2'-ditellurobis(2-deoxy-beta-cyclodextrin)	F
scalable predictive analysis in critically ill patients using a visual open data analysis platform	T
collective experience: a database-fuelled, inter-disciplinary team-led learning system	T
prediction of acute hypotensive episodes by means of neural network multi-models	T
multiparameter intelligent monitoring in intensive care ii: a public-access intensive care unit database	T
discovery of highly potent and neurotensin receptor 2 selective neurotensin mimetics	F
hypoxic hepatitis - its biochemical profile, causes and risk factors of mortality in critically-ill patients: a cohort study of 565 patients	T
scoring model to predict outcome in critically ill cirrhotic patients with acute respiratory failure: comparison with meld scoring models and clif-sofa score	T
development of a novel score for the prediction of hospital mortality in patients with severe sepsis: the use of electronic healthcare records with lasso regression	T
quick chronic liver failure-sequential organ failure assessment: an easy-to-use scoring model for predicting mortality risk in critically ill cirrhosis patients	T
a predictive model for medical events based on contextual embedding of temporal sequences	T
establishment and validation of gv-saps ii scoring system for non-diabetic critically ill patients	T
selecting relevant features from the electronic health record for clinical code prediction	T
prediction of early unplanned intensive care unit readmission in a uk tertiary care hospital: a cross-sectional machine learning approach	T
predicting intervention onset in the icu with switching state space models	T
discriminative and distinct phenotyping by constrained tensor factorization	T
automated diagnosis coding with combined text representations	T
fluid choice matters in critically-ill patients with acute pancreatitis: lactated ringer's vs. isotonic saline	T
prediction of sepsis in the intensive care unit with minimal electronic health record data: a machine learning approach	T
use of electronic health record data to evaluate the impact of race on 30-day mortality in patients admitted to the intensive care unit	T
pharmacological studies on novel neurotensin mimetics: discovery of a pharmacologically unique agent exhibiting concentration-dependent dual effects as antagonist and agonist	F
estimating patient's health state using latent structure inferred from clinical time series and text	T
customization of a severity of illness score using local electronic medical record data	T
septic shock prediction for icu patients via coupled hmm walking on sequential contrast patterns	T
effect of antipyretic therapy on mortality in critically ill patients with sepsis receiving mechanical ventilation treatment	T
hypotension risk prediction via sequential contrast patterns of icu blood pressure	T
prediction using patient comparison vs. modeling: a case study for mortality prediction	T
assessing the comorbidity gap between clinical studies and prevalence in elderly patient populations	T
mortality prediction in icus using a novel time-slicing cox regression method	T
performance comparison of multi-label learning algorithms on clinical data for chronic diseases	T
large-scale physiological waveform retrieval via locality-sensitive hashing	T
mortality prediction in septic shock patients: towards new personalized models in critical care	T
efficient and sparse feature selection for biomedical text classification via the elastic net: application to icu risk stratification from nursing notes	T
primary study for detection of arterial blood pressure waveform components	T
mortality prediction model of septic shock patients based on routinely recorded data	T
patient prognosis from vital sign time series: combining convolutional neural networks with a dynamical systems approach	T
clinicaltime: identification of patients with acute kidney injury using temporal abstractions and temporal pattern matching	T
computationally comparing and analyzing all published scoring systems for diagnosis of disseminated intravascular coagulation	T
mortality prediction in intensive care units with the super icu learner algorithm (sicula): a population-based study	T
predictive value of lactate in unselected critically ill patients: an analysis using fractional polynomials	T
n-gram support vector machines for scalable procedure and diagnosis classification, with applications to clinical free text data from the intensive care unit	T
prediction of mortality from respiratory distress among long-term mechanically ventilated patients	T
hemodynamic-impact-based prioritization of ventricular tachycardia alarms	T
comparison between invasive and non-invasive blood pressure in young, middle and old age	T
a simple method to extract key maternal data from neonatal clinical notes	T
icuarm-an icu clinical decision support system using association rule mining	T
identifying synonymy between snomed clinical terms of varying length using distributional analysis of electronic health records	T
microrna-182-5p regulates nerve injury-induced nociceptive hypersensitivity by targeting ephrin type-b receptor 1	F
lower short- and long-term mortality associated with overweight and obesity in a large cohort study of adult intensive care unit patients	T
stratified locality-sensitive hashing for accelerated physiological time series retrieval	T
analysis of locality-sensitive hashing for fast critical event prediction on physiological time series	T
discharge recommendation based on a novel technique of homeostatic analysis	T
leveraging a critical care database: selective serotonin reuptake inhibitor use prior to icu admission is associated with increased hospital mortality	T
synthesis of a new antischistosomally active and toxicologically tolerant c-12 monothione surrogate of the universal antihelmintic praziquantel	F
clinical predictive modeling development and deployment through fhir web services	T
wavelet based time series forecast with application to acute hypotensive episodes prediction	T
robust monitoring of hypovolemia in intensive care patients using photoplethysmogram signals	T
real-time prognosis of icu physiological data streams	T
a study of neural word embeddings for named entity recognition in clinical text	T
bilateral neuroretinitis as an ocular manifestation of cat scratch disease in 9-year-old boy. a case report	F
antipyretic therapy in critically ill patients with sepsis: an interaction with body temperature	T
predicting respiratory instability in the icu	T
temporal phenome analysis of a large electronic health record cohort enables identification of hospital-acquired complications	T
a comparative protease stability study of synthetic macrocyclic peptides that mimic two endocrine hormones	F
ecg signal quality during arrhythmia and its application to false alarm reduction	T
adsorption of 1,2-dichlorobenzene and 1,2,4-trichlorobenzene in nano- and microsized crystals of mil-101(cr): static and dynamic gravimetric studies	F
comparing depth-dependent curing radiant exposure and time of curing of regular and flow bulk-fill composites	F
using electronic health record collected clinical variables to predict medical intensive care unit mortality	T
characterization of long-term elution of platinum from carboplatin-impregnated calcium sulfate hemihydrate beads in vitro by two distinct sample collection methods	F
a computational approach to mortality prediction of alcohol use disorder inpatients	T
high-performance detection and early prediction of septic shock for alcohol-use disorder patients	T
investigation of relationship between 2,3-butanediol toxicity and production during growth of paenibacillus polymyxa	F
role of mirna-210 in hypoxic-ischemic brain edema in neonatal rats	F
efficient docosahexaenoic acid uptake by the brain from a structured phospholipid	F
phenome based analysis as a means for discovering context dependent clinical reference ranges	T
dual chemical modification of a polytheonamide mimic: rational design and synthesis of ion-channel-forming 48-mer peptides with potent cytotoxicity	F
investigating resuscitation code assignment in the intensive care unit using structured and unstructured data	T
synthesis of nisin ab dicarba analogs using ring-closing metathesis: influence of sp(3) versus sp(2) hybridization of the α-carbon atom of residues dehydrobutyrine-2 and dehydroalanine-5 on the lipid ii binding affinity	F
large scale anomalous patterns of muscovite mica discovered by atomic force microscopy	F
radical-scavenging activity and antioxidative effects of olive leaf components oleuropein and hydroxytyrosol in comparison with homovanillic alcohol	F
hiv fusion peptide penetrates, disorders, and softens t-cell membrane mimics	F
fuzzy risk stratification and risk assessment model for clinical monitoring in the icu	T
psychiatric symptom recognition without labeled data using distributional representations of phrases and on-line knowledge	T
reducing false arrhythmia alarm rates using robust heart rate estimation and cost-sensitive support vector machines	T
phenotyping hypotensive patients in critical care using hospital discharge summaries	T
red blood cell distribution width and neutrophil to lymphocyte ratio are associated with outcomes of adult subarachnoid haemorrhage patients admitted to intensive care unit	T
adaptive online monitoring for icu patients by combining just-in-time learning and principal component analysis	T
early warnings of heart rate deterioration	T
optical blood pressure estimation with photoplethysmography and fft-based neural networks	T
antibody-mediated functional control of a dansylated polytheonamide mimic	F
optimal medication dosing from suboptimal clinical examples: a deep reinforcement learning approach	T
using demographic and time series physiological features to classify sepsis in the intensive care unit	T
robust estimation of respiratory rate via ecg- and ppg-derived respiratory quality indices	T
lower mean corpuscular hemoglobin concentration is associated with poorer outcomes in intensive care unit admitted patients with acute myocardial infarction	T
a computational approach to early sepsis detection	T
platelet-to-lymphocyte ratio: a novel prognostic factor for prediction of 90-day outcomes in critically ill patients with diabetic ketoacidosis	T
photoplethysmography-based method for automatic detection of premature ventricular contractions	T
using information theory to identify redundancy in common laboratory tests in the intensive care unit	T
robust algorithm to locate heart beats from multiple physiological waveforms by individual signal detector voting	T
designing optimal mortality risk prediction scores that preserve clinical knowledge	T
interference detection and signal quality assessment of pulse signals	T
structural permutation of potent cytotoxin, polytheonamide b: discovery of cytotoxic peptide with altered activity	F
a physiological time series dynamics-based approach to patient monitoring and outcome prediction	T
acute hypotensive episodes prediction based on non-linear chaotic analysis	T
fuzzy modeling to predict severely depressed left ventricular ejection fraction following admission to the intensive care unit using clinical physiology	T
reducing false alarm rates for critical arrhythmias using the arterial blood pressure waveform	T
risk prediction of one-year mortality in patients with cardiac arrhythmias using random survival forest	T
separation of quercetin's biological activity from its oxidative property through bioisosteric replacement of the catecholic hydroxyl groups with fluorine atoms	F
precise:privacy-preserving cloud-assisted quality improvement service in healthcare	T
word sense disambiguation in the clinical domain: a comparison of knowledge-rich and knowledge-poor unsupervised methods	T
false ventricular tachycardia alarm suppression in the icu based on the discrete wavelet transform in the ecg signal	T
multi-label classification of chronically ill patients with bag of words and supervised dimensionality reduction algorithms	T
diagnosis code assignment: models and evaluation metrics	T
the use of mouse models to investigate shear bond strength in amelogenesis imperfecta	F
electrophile-modified lipoic derivatives of pdc-e2 elicits anti-mitochondrial antibody reactivity	F
v-type nerve agent detection using a carbon nanotube-based amperometric enzyme electrode	F
an early respiratory distress detection method with markov models	T
predicting postoperative acute respiratory failure in critical care using nursing notes and physiological signals	T
is there opportunity for automated decision-support and closed-loop control in icu patients receiving vasopressor infusion?	T
risk prediction for heart failure incidence within 1-year using clinical and laboratory factors	T
latent topic discovery of clinical concepts from hospital discharge summaries of a heterogeneous patient cohort	T
external phenome analysis enables a rational federated query strategy to detect changing rates of treatment-related complications associated with multiple myeloma	T
functionalization of manganite nanoparticles and their interaction with biologically relevant small ligands: picosecond time-resolved fret studies	F
a data mining approach to reduce the false alarm rate of patient monitors	T
predicting in-hospital mortality of icu patients: the physionet/computing in cardiology challenge 2012	T
an insight into the protection of rat liver against ischemia/reperfusion injury by 2-selenium-bridged beta-cyclodextrin	F
risk stratification of icu patients using topic models inferred from unstructured progress notes	T
a hypotensive episode predictor for intensive care based on heart rate and blood pressure time series	T
crystal structure of diaminopimelate epimerase from arabidopsis thaliana, an amino acid racemase critical for l-lysine biosynthesis	F
the arabidopsis gras protein scl14 interacts with class ii tga transcription factors and is essential for the activation of stress-inducible promoters	F
predicting patient's trajectory of physiological data using temporal trends in similar patients: a system for near-term prognostics	T
an investigation of patterns in hemodynamic data indicative of impending hypotension in intensive care	T
scope and limitations of the scs-mp2 method for stacking and hydrogen bonding interactions	F
a methodology for prediction of acute hypotensive episodes in icu via a risk scoring model including analysis of st-segment variations	T
hypotension as a risk factor for acute kidney injury in icu patients	T
parallel processing of ecg and blood pressure waveforms for detection of acute hypotensive episodes: a simulation study using a risk scoring model	T
predicting acute hypotensive episodes: the 10th annual physionet/computers in cardiology challenge	T
the effect of signal quality on six cardiac output estimators	T
a shape-persistent d,l-dipeptide building block for the assembly of rigidified oligopeptides	F
oxidative detoxication of carcinogenic 2-nitroanisole by human, rat and rabbit cytochrome p450	F
development and evaluation of predictive alerts for hemodynamic instability in icu patients	T
cyclodextrin-derived mimic of glutathione peroxidase exhibiting enzymatic specificity and high catalytic efficiency	F
interdepartmental audit with an anatomically realistic lung phantom	F
predicting icu hemodynamic instability using continuous multiparameter trends	T
an artificial intelligence tool to predict fluid requirement in the intensive care unit: a proof-of-concept study	T
protection of mitochondrial integrity from oxidative stress by selenium-containing glutathione transferase	F
introduction of a cis-prolyl mimic in position 7 of the peptide hormone oxytocin does not result in antagonistic activity	F
technique for ensuring negative surgical margins during laparoscopic partial nephrectomy	F
a library approach to the generation of bisubstrate analogue sulfotransferase inhibitors	F
synthesis of a sialyl lewis x mimic with fixed carboxylic acid group: chemical approach toward the elucidation of the bioactive conformation of sialyl lewis x	F
evaluation of the receptor selectivity of the h3 receptor antagonists, iodophenpropit and thioperamide: an interaction with the 5-ht3 receptor revealed	F
distorted antigen-presenting function of langerhans cells induced by tumor necrosis factor alpha via a mechanism that appears different from that induced by ultraviolet b radiation	F
