Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
using demographic and time series physiological features to classify sepsis in the intensive care unit,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Kristin,Gunnarsdottir,,Vijay,Sadashivaiah,,Matthew,Kerr,,Sabato,Santaniello,,Sridevi V,Sarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
secondary analysis of electronic health records,XX,XX,2016,,,,,Li-wei H.,Lehman,"Massachusetts Institute of Technology, Cambridge, MA, USA",Mengling,Feng,"Massachusetts Institute of Technology, Cambridge, MA, USA",Yijun,Yang,"Massachusetts Institute of Technology, Cambridge, MA, USA",Roger G.,Mark,"Massachusetts Institute of Technology, Cambridge, MA, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springer,Cham (CH),9783319437408,9783319437422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a web-based data visualization tool for the mimic-ii database,04,02,2016,BMC medical informatics and decision making,16,,1472-6947,Joon,Lee,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada. joon.lee@uwaterloo.ca.",Evan,Ribey,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada. eeribey@uwaterloo.ca.",James R,Wallace,"School of Public Health and Health Systems, University of Waterloo, Waterloo, ON, Canada. james.wallace@uwaterloo.ca.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discharge recommendation based on a novel technique of homeostatic analysis,28,03,2016,Journal of the American Medical Informatics Association : JAMIA,24,1,1527-974X,Jacob S,Calvert,"Dascena Inc., Hayward, CA, USA.",Daniel A,Price,"Dascena Inc., Hayward, CA, USA.",Christopher W,Barton,"Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, USA.",Uli K,Chettipally,"Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, USA.",Ritankar,Das,"Dascena Inc., Hayward, CA, USA ritankar@dascena.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use of electronic health record data to evaluate the impact of race on 30-day mortality in patients admitted to the intensive care unit,20,06,2016,Journal of racial and ethnic health disparities,4,4,2196-8837,Mallika L,Mundkur,"Lister Hill National Center for Biomedical Communications, National Library of Medicine, National Institutes of Health, 8600 Rockville Pike, Building 38A/&N707, Bethesda, MD, 20894, USA. mmundkur1@partners.org.",Fiona M,Callaghan,"Lister Hill National Center for Biomedical Communications, National Library of Medicine, National Institutes of Health, 8600 Rockville Pike, Building 38A/&N707, Bethesda, MD, 20894, USA.",Swapna,Abhyankar,"Lister Hill National Center for Biomedical Communications, National Library of Medicine, National Institutes of Health, 8600 Rockville Pike, Building 38A/&N707, Bethesda, MD, 20894, USA.",Clement J,McDonald,"Lister Hill National Center for Biomedical Communications, National Library of Medicine, National Institutes of Health, 8600 Rockville Pike, Building 38A/&N707, Bethesda, MD, 20894, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scalable predictive analysis in critically ill patients using a visual open data analysis platform,05,01,2016,PloS one,11,1,1932-6203,Sven,Van Poucke,"Department of Anesthesiology, Intensive Care, Emergency Medicine and Pain Therapy, Ziekenhuis Oost-Limburg, Genk, Belgium.",Zhongheng,Zhang,"Department of Critical Care Medicine, Jinhua Hospital of Zhejiang University, Zhejiang, P.R. China.",Martin,Schmitz,"RapidMiner GmbH, Dortmund, Germany.",Milan,Vukicevic,"Department of Organizational Sciences, University of Belgrade, Belgrade, Serbia.",Margot Vander,Laenen,"Department of Anesthesiology, Intensive Care, Emergency Medicine and Pain Therapy, Ziekenhuis Oost-Limburg, Genk, Belgium.",Leo Anthony,Celi,"MIT Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts, United States.",Cathy,De Deyne,"Department of Anesthesiology, Intensive Care, Emergency Medicine and Pain Therapy, Ziekenhuis Oost-Limburg, Genk, Belgium.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a predictive model for medical events based on contextual embedding of temporal sequences,25,11,2016,JMIR medical informatics,4,4,2291-9694,Wael,Farhan,"Health Sciences, Department of Biomedical Informatics, University of California - San Diego, La Jolla, CA, United States.",Zhimu,Wang,"Health Sciences, Department of Biomedical Informatics, University of California - San Diego, La Jolla, CA, United States.",Yingxiang,Huang,"Health Sciences, Department of Biomedical Informatics, University of California - San Diego, La Jolla, CA, United States.",Shuang,Wang,"Health Sciences, Department of Biomedical Informatics, University of California - San Diego, La Jolla, CA, United States.",Fei,Wang,"Department of Computer Science and Engineering, University of Connecticut, Storrs, CT, United States.",Xiaoqian,Jiang,"Health Sciences, Department of Biomedical Informatics, University of California - San Diego, La Jolla, CA, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lower mean corpuscular hemoglobin concentration is associated with poorer outcomes in intensive care unit admitted patients with acute myocardial infarction,XX,05,2016,Annals of translational medicine,4,10,2305-5839,Yuan-Lan,Huang,"1 Department of Laboratory Medicine, No. 455 Hospital of the Chinese People's Liberation Army, Shanghai 200052, China ; 2 Department of Laboratory Medicine, the General Hospital of Ji'nan Military Command Region, Ji'nan 250031, China.",Zhi-De,Hu,"1 Department of Laboratory Medicine, No. 455 Hospital of the Chinese People's Liberation Army, Shanghai 200052, China ; 2 Department of Laboratory Medicine, the General Hospital of Ji'nan Military Command Region, Ji'nan 250031, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a computational approach to early sepsis detection,12,05,2016,Computers in biology and medicine,74,,1879-0534,Jacob S,Calvert,"Dascena Inc., Hayward, CA, United States.",Daniel A,Price,"Dascena Inc., Hayward, CA, United States.",Uli K,Chettipally,"Kaiser Permanente South San Francisco Medical Center, South San Francisco, CA, United States; Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, United States.",Christopher W,Barton,"Department of Emergency Medicine, University of California San Francisco, San Francisco, CA, United States.",Mitchell D,Feldman,"Division of General Internal Medicine, Department of Medicine, University of California San Francisco, San Francisco, CA, United States.",Jana L,Hoffman,"Dascena Inc., Hayward, CA, United States. Electronic address: jana@dascena.com.",Melissa,Jay,"Dascena Inc., Hayward, CA, United States.",Ritankar,Das,"Dascena Inc., Hayward, CA, United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fluid choice matters in critically-ill patients with acute pancreatitis: lactated ringer's vs. isotonic saline,04,10,2016,Rhode Island medical journal (2013),99,10,2327-2228,Mohammed M,Aboelsoud,"Department of Medicine, Memorial Hospital of Rhode Island/Alpert Medical School of Brown University.",Osama,Siddique,"Department of Medicine, Memorial Hospital of Rhode Island/Alpert Medical School of Brown University.",Alexander,Morales,"Department of Medicine, Memorial Hospital of Rhode Island/Alpert Medical School of Brown University.",Young,Seol,Alpert Medical School of Brown University.,Mazen O,Al-Qadi,"Department of Medicine, Memorial Hospital of Rhode Island/Alpert Medical School of Brown University, Division of Pulmonary, Critical Care and Sleep Medicine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
