Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
using machine learning methods to predict in-hospital mortality of sepsis patients in the icu,02,10,2020,BMC medical informatics and decision making,20,1,1472-6947,Guilan,Kong,"National Institute of Health Data Science, Peking University, Beijing, China. guilan.kong@hsc.pku.edu.cn.",Ke,Lin,"National Institute of Health Data Science, Peking University, Beijing, China.",Yonghua,Hu,"Department of Epidemiology and Biostatistics, School of Public Health, Peking University, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the impact of statin use prior to intensive care unit admission on critically ill patients with sepsis,14,02,2021,Pharmacotherapy,41,2,1875-9114,Eric E,Chinaeke,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Bryan L,Love,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Joe,Magagnoli,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Ismaeel,Yunusa,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Gene,Reeder,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"prediction of in-hospital mortality of <i>clostriodiodes difficile</i> infection using critical care database: a big data-driven, machine learning approach",XX,11,2021,BMJ open gastroenterology,8,1,2054-4774,Hao,Du,"Saw Swee Hock School of Public Health, National University Health System, National University of Singapore, Singapore.",Kewin Tien Ho,Siah,"Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore kewin_siah@nuhs.edu.sg.",Valencia Zhang,Ru-Yan,"University Medicine Cluster, National University Hospital, Singapore.",Readon,Teh,"University Medicine Cluster, National University Hospital, Singapore.",Christopher Yu,En Tan,"Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore.",Wesley,Yeung,"University Medicine Cluster, National University Hospital, Singapore.",Christina,Scaduto,"Department of Global Health and Population, Harvard TH Chan School of Public Health, Boston, Massachusetts, USA.",Sarah,Bolongaita,"Department of Global Health and Population, Harvard TH Chan School of Public Health, Boston, Massachusetts, USA.",Maria Teresa Kasunuran,Cruz,"University Medicine Cluster, National University Hospital, Singapore.",Mengru,Liu,"School of Computing and Information Systems, Singapore Management University, Singapore.",Xiaohao,Lin,"Machine Intellection Department, Institute for Infocomm Research, Agency for Science Technology and Research, Singapore.",Yan Yuan,Tan,"Alliance Healthcare Group, Singapore.",Mengling,Feng,"Saw Swee Hock School of Public Health, National University Health System, National University of Singapore, Singapore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting the need for intubation in the first 24 h after critical care admission using machine learning approaches,01,12,2020,Scientific reports,10,1,2045-2322,Benjamin Ming Kit,Siu,"Department of Anaesthesia and Intensive Care, Prince of Wales Hospital, Hong Kong, China.",Gloria Hyunjung,Kwak,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China. hkwak@cse.ust.hk.",Lowell,Ling,"Department of Anaesthesia and Intensive Care, The Chinese University of Hong Kong, Hong Kong, China. lowell.ling@cuhk.edu.hk.",Pan,Hui,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association between comorbid asthma and prognosis of critically ill patients with severe sepsis: a cohort study,28,07,2021,Scientific reports,11,1,2045-2322,Jinju,Huang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Jurong,Zhang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Faxia,Wang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Jiezhu,Liang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Qinchang,Chen,"Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.",Zhuandi,Lin,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China. 13710911343@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identifying synonymy between snomed clinical terms of varying length using distributional analysis of electronic health records,16,11,2013,AMIA ... Annual Symposium proceedings. AMIA Symposium,2013,,1942-597X,Aron,Henriksson,"Department of Computer and Systems Sciences (DSV), Stockholm University, Sweden.",Mike,Conway,"Division of Behavioral Medicine, Department of Family & Preventive Medicine, University of California, San Diego, USA.",Martin,Duneld,"Department of Computer and Systems Sciences (DSV), Stockholm University, Sweden.",Wendy W,Chapman,"Division of Biomedical Informatics, Department of Medicine, University of California, San Diego, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen bonding of the nucleobase mimic 2-pyridone to fluorobenzenes: an ab initio investigation,30,03,2006,The journal of physical chemistry. A,110,12,1089-5639,Jann A,Frey,"Departement für Chemie und Biochemie, Universität Bern, Freiestrasse 3, CH-3012 Bern, Switzerland.",Roman,Leist,,Samuel,Leutwyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using demographic and time series physiological features to classify sepsis in the intensive care unit,XX,08,2016,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2016,,2694-0604,Kristin,Gunnarsdottir,,Vijay,Sadashivaiah,,Matthew,Kerr,,Sabato,Santaniello,,Sridevi V,Sarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a deep learning program to predict acute kidney injury,14,01,2022,Studies in health technology and informatics,289,,1879-8365,Xiaoqiang,Li,"Heidelberg University, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toward optimal heparin dosing by comparing multiple machine learning methods: retrospective study,22,06,2020,JMIR medical informatics,8,6,2291-9694,Longxiang,Su,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Chun,Liu,"Digital China Health Technologies Co Ltd, Beijing, China.",Dongkai,Li,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Jie,He,"Digital China Health Technologies Co Ltd, Beijing, China.",Fanglan,Zheng,"Digital China Health Technologies Co Ltd, Beijing, China.",Huizhen,Jiang,"Department of Information Management, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Hao,Wang,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Mengchun,Gong,"Digital China Health Technologies Co Ltd, Beijing, China.",Na,Hong,"Digital China Health Technologies Co Ltd, Beijing, China.",Weiguo,Zhu,"Department of General Internal Medicine/Department of Information Management, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",Yun,Long,"Department of Critical Care Medicine, Peking Union Medical College Hospital, Peking Union Medical College & Chinese Academy of Medical, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
