Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
the impact of statin use prior to intensive care unit admission on critically ill patients with sepsis,14,02,2021,Pharmacotherapy,41,2,1875-9114,Eric E,Chinaeke,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Bryan L,Love,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Joe,Magagnoli,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Ismaeel,Yunusa,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",Gene,Reeder,"University of South Carolina College of Pharmacy, Columbia, South Carolina, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"prediction of in-hospital mortality of <i>clostriodiodes difficile</i> infection using critical care database: a big data-driven, machine learning approach",XX,11,2021,BMJ open gastroenterology,8,1,2054-4774,Hao,Du,"Saw Swee Hock School of Public Health, National University Health System, National University of Singapore, Singapore.",Kewin Tien Ho,Siah,"Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore kewin_siah@nuhs.edu.sg.",Valencia Zhang,Ru-Yan,"University Medicine Cluster, National University Hospital, Singapore.",Readon,Teh,"University Medicine Cluster, National University Hospital, Singapore.",Christopher Yu,En Tan,"Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore.",Wesley,Yeung,"University Medicine Cluster, National University Hospital, Singapore.",Christina,Scaduto,"Department of Global Health and Population, Harvard TH Chan School of Public Health, Boston, Massachusetts, USA.",Sarah,Bolongaita,"Department of Global Health and Population, Harvard TH Chan School of Public Health, Boston, Massachusetts, USA.",Maria Teresa Kasunuran,Cruz,"University Medicine Cluster, National University Hospital, Singapore.",Mengru,Liu,"School of Computing and Information Systems, Singapore Management University, Singapore.",Xiaohao,Lin,"Machine Intellection Department, Institute for Infocomm Research, Agency for Science Technology and Research, Singapore.",Yan Yuan,Tan,"Alliance Healthcare Group, Singapore.",Mengling,Feng,"Saw Swee Hock School of Public Health, National University Health System, National University of Singapore, Singapore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association between comorbid asthma and prognosis of critically ill patients with severe sepsis: a cohort study,28,07,2021,Scientific reports,11,1,2045-2322,Jinju,Huang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Jurong,Zhang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Faxia,Wang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Jiezhu,Liang,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China.",Qinchang,Chen,"Zhongshan School of Medicine, Sun Yat-Sen University, Guangzhou, 510080, China.",Zhuandi,Lin,"Intensive Care Unit, Guangzhou Panyu Central Hospital, No. 8 Fuyu East Road, Qiaonan Street, Panyu District, Guangzhou, 511400, China. 13710911343@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolutional neural network model for intensive care unit acute kidney injury prediction,26,02,2021,Kidney international reports,6,5,2468-0249,Sidney,Le,"Dascena, Inc., Houston, Texas, USA.",Angier,Allen,"Dascena, Inc., Houston, Texas, USA.",Jacob,Calvert,"Dascena, Inc., Houston, Texas, USA.",Paul M,Palevsky,"VA Pittsburgh Healthcare System and University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Gregory,Braden,"Baystate Medical Center, Springfield, Massachusetts, USA.",Sharad,Patel,"Department of Critical Care Medicine, Cooper University Health Care, Camden, New Jersey, USA.",Emily,Pellegrini,"Dascena, Inc., Houston, Texas, USA.",Abigail,Green-Saxena,"Dascena, Inc., Houston, Texas, USA.",Jana,Hoffman,"Dascena, Inc., Houston, Texas, USA.",Ritankar,Das,"Dascena, Inc., Houston, Texas, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
does diabetes mellitus increase the short- and long-term mortality in patients with critical acute myocardial infarction? results from american mimic-iii and chinese cin cohorts,14,12,2021,Frontiers in endocrinology,12,,1664-2392,Shiqun,Chen,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Zhidong,Huang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Liling,Chen,"Department of Cardiology, Longyan First Hospital Affiliated With Fujian Medical University, Longyan, China.",Xiaoli,Zhao,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-Sen University, Guangzhou, China.",Yu,Kang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Wenguang,Lai,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Xiaozhao,Lu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yang,Zhou,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yibo,He,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Haozhang,Huang,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Qiang,Li,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Jin,Liu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yan,Liang,"Department of Cardiology, Maoming People's Hospital, Maoming, China.",Shaohong,Dong,"Department of Cardiology, Shenzhen People's Hospital, Shenzhen, China.",Ning,Tan,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Yong,Liu,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",Jiyan,Chen,"Department of Cardiology, Guangdong Provincial Key Laboratory of Coronary Heart Disease Prevention, Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomogram to predict the risk of acute kidney injury in patients with diabetic ketoacidosis: an analysis of the mimic-iii database,04,03,2021,BMC endocrine disorders,21,1,1472-6823,Tingting,Fan,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Haosheng,Wang,"Department of Orthopedics, Second Affiliated Hospital of Jilin University, Changchun, China.",Jiaxin,Wang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Wenrui,Wang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Haifei,Guan,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China.",Chuan,Zhang,"Department of Endocrinology, Second Affiliated Hospital of Jilin University, Ziqiang Street 218, Changchun, 130041, Jilin, China. wangs93@sina.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"comparing the impact on the prognosis of acute myocardial infarction critical patients of using midazolam, propofol, and dexmedetomidine for sedation",07,12,2021,BMC cardiovascular disorders,21,1,1471-2261,Xiaowei,Jiang,"Cardiology Department, National Clinical Research Center for Geriatric Disorders, Xiangya Hospital Central South University, Changsha, Hunan, China.",Min,Yan,"Internal Medicine Department, Changsha Medical University, Changsha, Hunan, China. 372263748@qq.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thyroid hormone levels as a predictor marker predict the prognosis of patients with sepsis,12,02,2021,The American journal of emergency medicine,45,,1532-8171,Yiping,Wang,"Department of Emergency, the First Affiliated Hospital of WenZhou Medical University, Wenzhou 325000, China.",Fangyuan,Sun,"Department of Computer Technology and Information Management, the First Affiliated Hospital of WenZhou Medical University, Wenzhou 325000, China.",Guangliang,Hong,"Department of Emergency, the First Affiliated Hospital of WenZhou Medical University, Wenzhou 325000, China.",Zhongqiu,Lu,"Department of Emergency, the First Affiliated Hospital of WenZhou Medical University, Wenzhou 325000, China. Electronic address: drluzhongqiu@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data-driven curation process for describing the blood glucose management in the intensive care unit,10,03,2021,Scientific data,8,1,2052-4463,Aldo,Robles Arévalo,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal. aldo.arevalo@tecnico.ulisboa.pt.",Jason H,Maley,"Beth Israel Deaconess Medical Center, Boston, MA, USA.",Lawrence,Baker,"RAND Corporation, Santa Monica, CA, USA.",Susana M,da Silva Vieira,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",João M,da Costa Sousa,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",Stan,Finkelstein,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Roselyn,Mateo-Collado,"Rush University Medical Center, Chicago, IL, USA.",Jesse D,Raffa,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Leo Anthony,Celi,"Beth Israel Deaconess Medical Center, Boston, MA, USA.",Francis,DeMichele,"Landmark Health, Huntington Beach, CA, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development and validation of a risk stratification model for predicting the mortality of acute kidney injury in critical care patients,XX,02,2021,Annals of translational medicine,9,4,2305-5839,Haofan,Huang,"School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen, China.",Yong,Liu,"Department of Intensive Care Unit, Shenzhen Hospital, Southern Medical University, Shenzhen, China.",Ming,Wu,"Department of Critical Care Medicine & Infection Prevention and Control, The Second People's Hospital of Shenzhen & First Affiliated Hospital of Shenzhen University, Health Science Center, Shenzhen, China.",Yi,Gao,"School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen, China.",Xiaxia,Yu,"School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
