Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
a machine learning-based prediction model for acute kidney injury in patients with congestive heart failure,04,03,2022,Frontiers in cardiovascular medicine,9,2297-055X,Xi,Peng,"Department of Cardiology, National Center of Gerontology, Beijing Hospital, Beijing, China.",Le,Li,"National Center for Cardiovascular Diseases, Peking Union Medical College, Fuwai Hospital, Chinese Academy of Medical Sciences, Beijing, China.",Xinyu,Wang,"Department of Environmental and Engineering, Beijing University of Civil Engineering and Architecture, Beijing, China.",Huiping,Zhang,"Department of Cardiology, National Center of Gerontology, Beijing Hospital, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning-based risk stratification tool for in-hospital mortality of intensive care unit patients with heart failure,18,03,2022,Journal of translational medicine,20,1479-5876,Cida,Luo,"South China Normal University-Panyu Central Hospital Joint Laboratory of Basic and Translational Medical Research, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China.",Yi,Zhu,"Department of Cardiology, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China.",Zhou,Zhu,"South China Normal University-Panyu Central Hospital Joint Laboratory of Basic and Translational Medical Research, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China.",Ranxi,Li,"South China Normal University-Panyu Central Hospital Joint Laboratory of Basic and Translational Medical Research, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China.",1,Guoqin,Chen,"Department of Cardiology, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China. Chenguoqin1@163.com.",Zhang,Wang,"South China Normal University-Panyu Central Hospital Joint Laboratory of Basic and Translational Medical Research, Guangzhou Panyu Central Hospital, Guangzhou, 511400, Guangdong, China. wangz@m.scnu.edu.cn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"management of intoxicated patients - a descriptive outcome analysis of 4,267 icu patients",12,03,2022,BMC emergency medicine,22,1471-227X,Richard,Rezar,"Department of Cardiology and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Müllner Hauptstraße 48, 5020, Salzburg, Austria.",Christian,Jung,"Department of Cardiology, Pulmonology and Vascular Medicine, Medical Faculty, Heinrich-Heine-University Düsseldorf, Moorenstraße 5, 40225, Duesseldorf, Germany. christian.jung@med.uni-duesseldorf.de.",Behrooz,Mamandipoor,"Fondazione Bruno Kessler Research Institute, Trento, Via Sommarive 18 - Povo, 38123, Trento, Italy.",Clemens,Seelmaier,"Department of Cardiology and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Müllner Hauptstraße 48, 5020, Salzburg, Austria.",1,Thomas K,Felder,"Department of Laboratory Medicine, Paracelsus Medical University of Salzburg, Müllner Hauptstraße 48, 5020, Salzburg, Austria.",Michael,Lichtenauer,"Department of Cardiology and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Müllner Hauptstraße 48, 5020, Salzburg, Austria.",Sarah,Wernly,"Department of Internal Medicine, General Hospital Oberndorf, Paracelsusstraße 37, 5110, Oberndorf, Austria.",Samanta M,Zwaag,"Department of Intensive Care Medicine, University Medical Center, University Utrecht, Heidelberglaan 100, 3584, CX, Utrecht, The Netherlands.",Dylan W,De Lange,"Department of Intensive Care Medicine, University Medical Center, University Utrecht, Heidelberglaan 100, 3584, CX, Utrecht, The Netherlands.",Bernhard,Wernly,"Department of Anaesthesiology, Perioperative Medicine and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Müllner Hauptstraße 48, 5020, Salzburg, Austria.",Venet,Osmani,"Fondazione Bruno Kessler Research Institute, Trento, Via Sommarive 18 - Povo, 38123, Trento, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circadian rhythm in critically ill patients: insights from the eicu database,17,02,2021,Cardiovascular digital health journal,2,2666-6936,Sebastian E,Beyer,"Division of Cardiology, Department of Medicine, Weill Cornell Medical College, New York Presbyterian Hospital, New York, New York.",Catia,Salgado,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",Ines,Garçao,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",Leo Anthony,Celi,"Laboratory of Computational Physiology, Institute for Medical Engineering and Science, Massachusetts Institute of Technology, Cambridge, Massachusetts.",2,Susana,Vieira,"IDMEC, Instituto Superior Técnico, Universidade de Lisboa, Lisbon, Portugal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the association between the non-hdl-cholesterol to hdl-cholesterol ratio and 28-day mortality in sepsis patients: a cohort study,03,03,2022,Scientific reports,12,2045-2322,Le,Chang,"Department of Orthopedics, Xijing Hospital, The Fourth Military Medical University, Changle West Road No. 127, Xi'an, 710032, Shaanxi, China.",Xinglin,Chen,"Department of Geriatrics, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China.",Cheng,Lian,"Department of Cardiology, Xi'an International Medical Center Hospital, Xitai Road No. 777, Xi'an, 710032, Shaanxi, China. cheng_lian2020@163.com.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machine learning techniques in blood pressure management during the acute phase of ischemic stroke,14,02,2022,Frontiers in neurology,12,1664-2295,Orit,Mazza,"Graduate School of Business Administration, Bar Ilan University, Ramat Gan, Israel.",Onn,Shehory,"Graduate School of Business Administration, Bar Ilan University, Ramat Gan, Israel.",Nirit,Lev,"Neurology Department, Meir Medical Center, Kfar Saba, Israel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a comparison of approaches to improve worst-case predictive model performance over patient subpopulations,28,02,2022,Scientific reports,12,2045-2322,Stephen R,Pfohl,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA, 94305, USA. spfohl@stanford.edu.",Haoran,Zhang,"Department of Computer Science, University of Toronto, Toronto, ON, Canada.",Yizhe,Xu,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA, 94305, USA.",Agata,Foryciarz,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA, 94305, USA.",1,Marzyeh,Ghassemi,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, MA, 02139, USA.",Nigam H,Shah,"Stanford Center for Biomedical Informatics Research, Stanford University, Stanford, CA, 94305, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the case for the anesthesiologist-informaticist,28,02,2022,JMIR perioperative medicine,5,2561-9128,Robert,Lee,"Department of Anesthesiology, University at Buffalo, Buffalo, NY, United States.",James,Hitt,"Department of Anesthesiology, University at Buffalo, Buffalo, NY, United States.",Geoffrey G,Hobika,"Department of Anesthesiology, University at Buffalo, Buffalo, NY, United States.",Nader D,Nader,"Department of Anesthesiology, University at Buffalo, Buffalo, NY, United States.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparative analysis of explainable machine learning prediction models for hospital mortality,27,02,2022,BMC medical research methodology,22,1471-2288,Eline,Stenwig,"Department of Circulation and Medical Imaging, The Norwegian University of Science and Technology, Trondheim, Norway. eline.stenwig@ntnu.no.",Giampiero,Salvi,"Department of Electronic Systems, The Norwegian University of Science and Technology, Trondheim, Norway.",Pierluigi Salvo,Rossi,"Department of Electronic Systems, The Norwegian University of Science and Technology, Trondheim, Norway.",Nils Kristian,Skjærvold,"Department of Circulation and Medical Imaging, The Norwegian University of Science and Technology, Trondheim, Norway.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-linear relationship between basal serum albumin concentration and cardiac arrest in critically ill patients with end-stage renal disease: a cross-sectional study,08,02,2022,BMJ open,12,2044-6055,Yong-Qin,Zeng,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Zuo-An,Qin,"Department of Cardiology, The First People' s Hospital of Changde City, Changde, China.",Zi-Wei,Guo,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Bo,Li,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",2,Hai-Yan,Yu,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Rui-Xue,Chen,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Ying-Qian,Tang,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Ke-Jin,Hu,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Cheng-Jing,Guan,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China.",Rui,Yan,"Department of Nephrology, The Affiliated Hospital of Guizhou Medical University, Guiyang, Guizhou, China yryr1234@126.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
