Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
healthcare transformation in singapore with artificial intelligence,17,11,2020,Frontiers in digital health,2,2673-253X,Siqi,Liu,"National University of Singapore Graduate School for Integrative Sciences and Engineering, National University of Singapore, Singapore, Singapore.",Qianwen Stephanie,Ko,"Division of Advanced Internal Medicine, National University Hospital, Singapore, Singapore.",Kun Qiang Amos,Heng,"Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, Singapore, Singapore.",Kee Yuan,Ngiam,"Group Chief Technology Office, National University Health System Singapore, Singapore, Singapore.",,Mengling,Feng,"Saw Swee Hock School of Public Health, National University of Singapore and National University Health System, Singapore, Singapore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting outcome in liver patients admitted to intensive care: a dual-centre non-specialist hospital external validation of the liver injury and failure evaluation score,08,05,2020,Journal of the Intensive Care Society,22,1751-1437,Eleanor,de Sausmarez,"Intensive Care Department, Worthing Hospital, West Sussex, UK.",Paul,Crowest,"Intensive Care Department, Worthing Hospital, West Sussex, UK.",Steve,Fry,"Intensive Care Department, Worthing Hospital, West Sussex, UK.",Luke,Hodgson,"Intensive Care Department, Worthing Hospital, West Sussex, UK.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enhancing statistical power in temporal biomarker discovery through representative shapelet mining,30,12,2020,"Bioinformatics (Oxford, England)",36,1367-4811,Thomas,Gumbsch,"Department of Biosystems Science and Engineering, ETH Zurich, Basel 4058, Switzerland.",Christian,Bock,"Department of Biosystems Science and Engineering, ETH Zurich, Basel 4058, Switzerland.",Michael,Moor,"Department of Biosystems Science and Engineering, ETH Zurich, Basel 4058, Switzerland.",Bastian,Rieck,"Department of Biosystems Science and Engineering, ETH Zurich, Basel 4058, Switzerland.",Suppl_2,Karsten,Borgwardt,"Department of Biosystems Science and Engineering, ETH Zurich, Basel 4058, Switzerland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
early prediction of in-hospital mortality in acute pancreatitis: a retrospective observational cohort study based on a large multicentre critical care database,23,12,2020,BMJ open,10,2044-6055,Caifeng,Li,"Department of Critical Care Medicine, Tianjin Medical University General Hospital, Tianjin, China.",Qian,Ren,"Advertising Center, Tianjin Daily, Tianjin, China.",Zhiqiang,Wang,"Department of Critical Care Medicine, Tianjin Medical University General Hospital, Tianjin, China.",Guolin,Wang,"Department of Critical Care Medicine, Tianjin Medical University General Hospital, Tianjin, China wgl202@qq.com.",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association between icu-acquired hypernatremia and in-hospital mortality: data from the medical information mart for intensive care iii and the electronic icu collaborative research database,16,12,2020,Critical care explorations,2,2639-8028,Markus Harboe,Olsen,"Department of Neuroanaesthesiology, Rigshospitalet, Copenhagen University Hospital, Copenhagen, Denmark.",Marcus,Møller,"Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.",Stefano,Romano,"Department of Electronic, Information and Biomedical Engineering, Politecnico di Milano, Milano, Italy.",Jonas,Andersson,"Maquet Critical Care AB, Röntgenvägen 2, Solna, Sweden.",12,Eric,Mlodzinski,"Department of Medicine, Beth Israel Deaconess Medical Center, Boston, MA.",Nathan H,Raines,"Division of Nephrology, Department of Medicine, Beth Israel Deaconess Medical Center & Harvard Medical School, Boston, MA.",Raphael,Sherak,"Albert Einstein College of Medicine, Bronx, NY.",Anni Nørgaard,Jeppesen,"Department of Anaesthesiology, The Regional Hospital West Jutland, Herning, Denmark.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failure of lactate clearance predicts the outcome of critically ill septic patients,18,12,2020,"Diagnostics (Basel, Switzerland)",10,2075-4418,Raphael Romano,Bruno,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",Bernhard,Wernly,"Department of Cardiology, Clinic of Internal Medicine II, Paracelsus Medical University of Salzburg, 5020 Salzburg, Austria.",Stephan,Binneboessel,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",Philipp,Baldia,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",12,Dragos Andrei,Duse,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",Ralf,Erkens,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",Malte,Kelm,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",Behrooz,Mamandipoor,"Fondazione Bruno Kessler Research Institute, 38123 Trento, Italy.",Venet,Osmani,"Fondazione Bruno Kessler Research Institute, 38123 Trento, Italy.",Christian,Jung,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, 40225 Düsseldorf, Germany.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
racial bias in pulse oximetry measurement,17,12,2020,The New England journal of medicine,383,1533-4406,Michael W,Sjoding,"University of Michigan Medical School, Ann Arbor, MI msjoding@umich.edu.",Robert P,Dickson,"University of Michigan Medical School, Ann Arbor, MI msjoding@umich.edu.",Theodore J,Iwashyna,"University of Michigan Medical School, Ann Arbor, MI msjoding@umich.edu.",Steven E,Gay,"University of Michigan Medical School, Ann Arbor, MI msjoding@umich.edu.",25,Thomas S,Valley,"University of Michigan Medical School, Ann Arbor, MI msjoding@umich.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparison of 2 triage scoring guidelines for allocation of mechanical ventilators,01,12,2020,JAMA network open,3,2574-3805,Hannah,Wunsch,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Andrea D,Hill,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Nicholas,Bosch,"Department of Medicine, Boston University School of Medicine, Boston, Massachusetts.",Neill K J,Adhikari,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",12,Gordon,Rubenfeld,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Allan,Walkey,"Department of Medicine, Boston University School of Medicine, Boston, Massachusetts.",Bruno L,Ferreyro,"Interdepartmental Division of Critical Care Medicine, University of Toronto, Toronto, Ontario, Canada.",Bourke W,Tillmann,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Andre C K B,Amaral,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Damon C,Scales,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Eddy,Fan,"Interdepartmental Division of Critical Care Medicine, University of Toronto, Toronto, Ontario, Canada.",Brian H,Cuthbertson,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",Robert A,Fowler,"Department of Critical Care Medicine, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effectiveness of corticosteroids in patients with sepsis or septic shock using the new third international consensus definitions (sepsis-3): a retrospective observational study,03,12,2020,PloS one,15,1932-6203,Yu-Pu,Wu,"Department of Epidemiology, Harvard T.H. Chan School of Public Health, Boston, Massachusetts, United States of America.",Julie C,Lauffenburger,"Division of Pharmacoepidemiology and Pharmacoeconomics, Department of Medicine, Brigham and Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States of America.",,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting the need for intubation in the first 24 h after critical care admission using machine learning approaches,01,12,2020,Scientific reports,10,2045-2322,Benjamin Ming Kit,Siu,"Department of Anaesthesia and Intensive Care, Prince of Wales Hospital, Hong Kong, China.",Gloria Hyunjung,Kwak,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China. hkwak@cse.ust.hk.",Lowell,Ling,"Department of Anaesthesia and Intensive Care, The Chinese University of Hong Kong, Hong Kong, China. lowell.ling@cuhk.edu.hk.",Pan,Hui,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association of chloride ion and sodium-chloride difference with acute kidney injury and mortality in critically ill patients,24,11,2020,Critical care explorations,2,2639-8028,Satoshi,Kimura,"Department of Anesthesiology and Resuscitation, Okayama University Hospital, Okayama, Japan.",Miguel Angel Armengol,de la Hoz,"Cardiovascular Research Center, Massachusetts General Hospital, Boston, MA.",Nathan Hutzel,Raines,"Biomedical Engineering and Telemedicine Group, Biomedical Technology Centre CTB, ETSI Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain.",Leo Anthony,Celi,"Biomedical Engineering and Telemedicine Group, Biomedical Technology Centre CTB, ETSI Telecomunicación, Universidad Politécnica de Madrid, Madrid, Spain.",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
