Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
role of empiric antifungal therapy in patients with perforated peptic ulcers,12,01,2022,Surgical infections,23,2,1557-8674,Majid,Chammas,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Khaled,Abdul Jawad,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Rebecca A,Saberi,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Gareth,Gilna,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Eva M,Urrechaga,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Alessia,Cioci,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Rishi,Rattan,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Gerd Daniel,Pust,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Nicholas,Namias,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",Daniel Dante,Yeh,"Division of Trauma and Surgical Critical Care, Department of Surgery, University of Miami, Jackson Memorial Hospital Ryder Trauma Center, Miami, Florida, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association of hyperchloremia with all-cause mortality in patients admitted to the surgical intensive care unit: a retrospective cohort study,07,01,2022,BMC anesthesiology,22,1,1471-2253,Keke,Song,"Department of Anesthesiology, The First Affiliated Hospital of Xi'an Jiaotong University, No. 277, Yanta West Road, Yanta District, Xi'an, China.",Tingting,Yang,"Department of Anesthesiology, The First Affiliated Hospital of Xi'an Jiaotong University, No. 277, Yanta West Road, Yanta District, Xi'an, China.",Wei,Gao,"Department of Anesthesiology, The First Affiliated Hospital of Xi'an Jiaotong University, No. 277, Yanta West Road, Yanta District, Xi'an, China. gaoweixjtu2021@126.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
developing machine learning models for prediction of mortality in the medical intensive care unit,26,01,2022,Computer methods and programs in biomedicine,216,,1872-7565,Beatriz,Nistal-Nuño,"Department of Anesthesiology, Complejo Hospitalario Universitario de Pontevedra. Mourente s/n, 36071, Pontevedra. Spain. Electronic address: nistalnunobeatriz7@gmail.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
external validation of a laboratory prediction algorithm for the reduction of unnecessary labs in the critical care setting,31,01,2022,The American journal of medicine,,,1555-7162,Linda T,Li,"Department of Pediatric Surgery, McGovern Medical School at The University of Texas Health Science Center at Houston, 6431 Fannin St., Houston, TX, USA 77030. Electronic address: Linda.T.Li@uth.tmc.edu.",Tongtong,Huang,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, 7000 Fannin St., Suite 600, Houston, TX, USA 77030. Electronic address: Tongtong.Huang@uth.tmc.edu.",Elmer V,Bernstam,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, 7000 Fannin St., Suite 600, Houston, TX, USA 77030; Department of Internal Medicine, McGovern Medical School at The University of Texas Health Science Center at Houston, 6431 Fannin St., Houston, TX, USA 77030. Electronic address: Elmer.V.Bernstam@uth.tmc.edu.",Xiaoqian,Jiang,"School of Biomedical Informatics, The University of Texas Health Science Center at Houston, 7000 Fannin St., Suite 600, Houston, TX, USA 77030. Electronic address: Xiaoqian.Jiang@uth.tmc.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting risk for trauma patients using static and dynamic information from the mimic iii database,19,01,2022,PloS one,17,1,1932-6203,Evan J,Tsiklidis,"Department of Chemical and Biomolecular Engineering, Institute for Medicine and Engineering, University of Pennsylvania, Philadelphia, PA, United States of America.",Talid,Sinno,"Department of Chemical and Biomolecular Engineering, Institute for Medicine and Engineering, University of Pennsylvania, Philadelphia, PA, United States of America.",Scott L,Diamond,"Department of Chemical and Biomolecular Engineering, Institute for Medicine and Engineering, University of Pennsylvania, Philadelphia, PA, United States of America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"peeking into a black box, the fairness and generalizability of a mimic-iii benchmarking model",24,01,2022,Scientific data,9,1,2052-4463,Eliane,Röösli,"School of Life Sciences, Swiss Federal Institute of Technology (EPFL), Lausanne, Switzerland.",Selen,Bozkurt,"Department of Medicine (Biomedical Informatics), Stanford University, Stanford, CA, USA.",Tina,Hernandez-Boussard,"Department of Medicine (Biomedical Informatics), Stanford University, Stanford, CA, USA. boussard@stanford.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classifying social determinants of health from unstructured electronic health records using deep learning-based natural language processing,07,01,2022,Journal of biomedical informatics,127,,1532-0480,Sifei,Han,"Tsui Laboratory, Department of Biomedical and Health Informatics, Children's Hospital of Philadelphia, Philadelphia, PA, USA.",Robert F,Zhang,"Tsui Laboratory, Department of Biomedical and Health Informatics, Children's Hospital of Philadelphia, Philadelphia, PA, USA; Perelman School of Medicine, University of Pennsylvania, PA, USA.",Lingyun,Shi,"Tsui Laboratory, Department of Biomedical and Health Informatics, Children's Hospital of Philadelphia, Philadelphia, PA, USA.",Russell,Richie,"Tsui Laboratory, Department of Biomedical and Health Informatics, Children's Hospital of Philadelphia, Philadelphia, PA, USA.",Haixia,Liu,"Central South University, Changsha, Hunan, CN.",Andrew,Tseng,"Touro University Nevada, Henderson, NV, USA.",Wei,Quan,"New York University Abu Dhabi, Abu Dhabi, AE.",Neal,Ryan,"Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA, USA.",David,Brent,"Department of Psychiatry, University of Pittsburgh, Pittsburgh, PA, USA.",Fuchiang R,Tsui,"Tsui Laboratory, Department of Biomedical and Health Informatics, Children's Hospital of Philadelphia, Philadelphia, PA, USA; Perelman School of Medicine, University of Pennsylvania, PA, USA. Electronic address: tsuif@chop.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mechanical power of ventilation is associated with mortality in neurocritical patients: a cohort study,20,01,2022,Journal of clinical monitoring and computing,,,1573-2614,Xiaofeng,Jiang,"Department of Anesthesiology, Jinhua Municipal Central Hospital, Jinhua, China.",Yanhong,Zhu,"Department of Anesthesiology, The First People's Hospital of Pinghu, Jiaxing, China.",Shuai,Zhen,"Department of Anesthesiology, Jinhua Municipal Central Hospital, Jinhua, China.",Lei,Wang,"Department of Anesthesiology, The First People's Hospital of Pinghu, Jiaxing, China. 13615739338@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blood urea nitrogen to serum albumin ratio as a new prognostic indicator in critical patients with chronic heart failure,11,02,2022,ESC heart failure,,,2055-5822,Zebin,Lin,"Department of General Medicine, The Second Affiliated Hospital of Chongqing Medical University, No. 76 Linjiang Road, Chongqing, 400010, China.",Yipin,Zhao,"Department of General Medicine, The Second Affiliated Hospital of Chongqing Medical University, No. 76 Linjiang Road, Chongqing, 400010, China.",Li,Xiao,"Department of General Medicine, The Second Affiliated Hospital of Chongqing Medical University, No. 76 Linjiang Road, Chongqing, 400010, China.",Chenlu,Qi,"Department of General Medicine, The Second Affiliated Hospital of Chongqing Medical University, No. 76 Linjiang Road, Chongqing, 400010, China.",Qinwei,Chen,"Department of General Medicine, The Second Affiliated Hospital of Chongqing Medical University, No. 76 Linjiang Road, Chongqing, 400010, China.",Yin,Li,"Department of Hepatobiliary Surgery, The Second Affiliated Hospital of Chongqing Medical University, Chongqing, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an explainable machine learning framework for lung cancer hospital length of stay prediction,12,01,2022,Scientific reports,12,1,2045-2322,Belal,Alsinglawi,"School of Computer, Data and Mathematical Sciences, Western Sydney University, Rydalmere, 2116, NSW, Australia.",Osama,Alshari,"Oncology Division, Department of Internal Medicine, Faculty of Medicine, Jordan University of Science and Technology, Irbid, Jordan.",Mohammed,Alorjani,"Department of Pathology and Microbiology, Faculty of Medicine, Jordan University of Science and Technology, Irbid, Jordan.",Omar,Mubin,"School of Computer, Data and Mathematical Sciences, Western Sydney University, Rydalmere, 2116, NSW, Australia.",Fady,Alnajjar,"College of Information Technology, UAE University, Al-Ain, UAE. fady.alnajjar@uaeu.ac.ae.",Mauricio,Novoa,"The School of Engineering, Design and Built Environment, Western Sydney University, Rydalmere, 2116, NSW, Australia.",Omar,Darwish,"Department of Information Security and Applied Computing, Eastern Michigan University, Michigan, 48197, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
