Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal Issue,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Publisher Name,Publisher Location,ISBN 1,ISBN 2,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Collective Author 1,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Author 30 First Name,Author 30 Last Name,Author 30 Affiliation,Author 31 First Name,Author 31 Last Name,Author 31 Affiliation,Author 32 First Name,Author 32 Last Name,Author 32 Affiliation,Author 33 First Name,Author 33 Last Name,Author 33 Affiliation
standardizing clinical laboratory data for secondary use,03,05,2012,Journal of biomedical informatics,45,4,1532-0480,Swapna,Abhyankar,"Lister Hill National Center for Biomedical Communications, National Library of Medicine, 8600 Rockville Pike, Building 38A/7N707, Bethesda, MD 20894, USA. swapna.abhyankar@nih.gov",Dina,Demner-Fushman,,Clement J,McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"collective experience: a database-fuelled, inter-disciplinary team-led learning system",01,03,2012,Journal of computing science and engineering : JCSE,6,1,1976-4677,Leo A,Celi,"Harvard-MIT Division of Health Sciences and Technology, Cambridge, and Beth Israel Deaconess Medical Center, Boston, MA, USA, rgmark@mit.edu.",Roger G,Mark,,Joon,Lee,,Daniel J,Scott,,Trishan,Panch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predicting in-hospital mortality of icu patients: the physionet/computing in cardiology challenge 2012,XX,XX,2012,Computing in cardiology,39,,2325-8861,Ikaro,Silva,"Massachusetts Institute of Technology, Cambridge, USA.",George,Moody,"Beth Israel Deaconess Medical Center, Boston, USA.",Daniel J,Scott,,Leo A,Celi,,Roger G,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phenome based analysis as a means for discovering context dependent clinical reference ranges,03,11,2012,AMIA ... Annual Symposium proceedings. AMIA Symposium,2012,,1942-597X,Jeremy L,Warner,"Division of Hematology/Oncology, Vanderbilt University, Nashville, TN, USA.",Gil,Alterovitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a comparative protease stability study of synthetic macrocyclic peptides that mimic two endocrine hormones,22,12,2012,Bioorganic & medicinal chemistry letters,23,4,1464-3405,John J,Ferrie,"Department of Chemistry, The College of New Jersey, P.O. Box 7718, Ewing, NJ 08628, USA.",Jessica J,Gruskos,,Ari L,Goldwaser,,Megan E,Decker,,Danielle A,Guarracino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"design, synthesis and functional analysis of dansylated polytheonamide mimic: an artificial peptide ion channel",20,08,2012,Journal of the American Chemical Society,134,34,1520-5126,Hiroaki,Itoh,"Graduate School of Pharmaceutical Sciences, The University of Tokyo, Hongo, Bunkyo-ku, Tokyo 113-0033, Japan.",Shigeru,Matsuoka,,Mohamed,Kreir,,Masayuki,Inoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prediction of extubation failure for neonates with respiratory distress syndrome using the mimic-ii clinical database,XX,XX,2012,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2012,,2694-0604,Arthur,Mikhno,"Biomedical Engineering Department, Columbia University, New York, NY, USA. am2679@columbia.edu",Colleen M,Ennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"structural permutation of potent cytotoxin, polytheonamide b: discovery of cytotoxic peptide with altered activity",01,11,2012,ACS medicinal chemistry letters,4,1,1948-5875,Hiroaki,Itoh,"Graduate School of Pharmaceutical Sciences, The University of Tokyo , Hongo, Bunkyo-ku, Tokyo 113-0033, Japan.",Masayuki,Inoue,"Graduate School of Pharmaceutical Sciences, The University of Tokyo , Hongo, Bunkyo-ku, Tokyo 113-0033, Japan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risk stratification of icu patients using topic models inferred from unstructured progress notes,03,11,2012,AMIA ... Annual Symposium proceedings. AMIA Symposium,2012,,1942-597X,Li-wei,Lehman,"Harvard-MIT Health Sciences and Technology, USA.",Mohammed,Saeed,,William,Long,,Joon,Lee,,Roger,Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lower short- and long-term mortality associated with overweight and obesity in a large cohort study of adult intensive care unit patients,18,12,2012,"Critical care (London, England)",16,6,1466-609X,Swapna,Abhyankar,,Kira,Leishear,,Fiona M,Callaghan,,Dina,Demner-Fushman,,Clement J,McDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
